Log created: 2024-08-06 14:02:10
Type: backup
[2024-08-06 14:02:35][notice]Compressing zip file:yeslove.co.uk_wpvivid-66b21ed2e569a_2024-08-06-14-02_backup_themes.part001.zip index:550
[2024-08-06 14:02:44][notice]Compressing zip file:yeslove.co.uk_wpvivid-66b21ed2e569a_2024-08-06-14-02_backup_themes.part001.zip success. index:550 file size:22.31 MB
[2024-08-06 14:02:48][notice]Backing up backup_themes completed.
[2024-08-06 14:02:48][notice]Prepare to backup backup_plugin files.
[2024-08-06 14:03:01][notice]Compressing zip file:yeslove.co.uk_wpvivid-66b21ed2e569a_2024-08-06-14-02_backup_plugin.part001.zip index:14522
[2024-08-06 14:03:54][notice]Compressing zip file:yeslove.co.uk_wpvivid-66b21ed2e569a_2024-08-06-14-02_backup_plugin.part001.zip success. index:14522 file size:84.14 MB
[2024-08-06 14:04:08][notice]Compressing zip file:yeslove.co.uk_wpvivid-66b21ed2e569a_2024-08-06-14-02_backup_plugin.part002.zip index:30445
[2024-08-06 14:04:58][notice]Compressing zip file:yeslove.co.uk_wpvivid-66b21ed2e569a_2024-08-06-14-02_backup_plugin.part002.zip success. index:30445 file size:70.83 MB
[2024-08-06 14:05:10][notice]Compressing zip file:yeslove.co.uk_wpvivid-66b21ed2e569a_2024-08-06-14-02_backup_plugin.part003.zip index:36613
[2024-08-06 14:05:28][notice]Compressing zip file:yeslove.co.uk_wpvivid-66b21ed2e569a_2024-08-06-14-02_backup_plugin.part003.zip success. index:36613 file size:23.70 MB
[2024-08-06 14:05:32][notice]Backing up backup_plugin completed.
[2024-08-06 14:05:32][notice]Prepare to backup backup_uploads files.
[2024-08-06 14:05:35][notice]Compressing zip file:yeslove.co.uk_wpvivid-66b21ed2e569a_2024-08-06-14-02_backup_uploads.part001.zip index:4474
[2024-08-06 14:06:39][notice]Compressing zip file:yeslove.co.uk_wpvivid-66b21ed2e569a_2024-08-06-14-02_backup_uploads.part001.zip success. index:4474 file size:183.69 MB
[2024-08-06 14:07:11][notice]Compressing zip file:yeslove.co.uk_wpvivid-66b21ed2e569a_2024-08-06-14-02_backup_uploads.part002.zip index:8502
[2024-08-06 14:08:15][notice]Compressing zip file:yeslove.co.uk_wpvivid-66b21ed2e569a_2024-08-06-14-02_backup_uploads.part002.zip success. index:8502 file size:184.21 MB
[2024-08-06 14:08:47][notice]Compressing zip file:yeslove.co.uk_wpvivid-66b21ed2e569a_2024-08-06-14-02_backup_uploads.part003.zip index:12562
[2024-08-06 14:09:51][notice]Compressing zip file:yeslove.co.uk_wpvivid-66b21ed2e569a_2024-08-06-14-02_backup_uploads.part003.zip success. index:12562 file size:184.26 MB
[2024-08-06 14:10:23][notice]Compressing zip file:yeslove.co.uk_wpvivid-66b21ed2e569a_2024-08-06-14-02_backup_uploads.part004.zip index:16342
[2024-08-06 14:11:27][notice]Compressing zip file:yeslove.co.uk_wpvivid-66b21ed2e569a_2024-08-06-14-02_backup_uploads.part004.zip success. index:16342 file size:184.77 MB
[2024-08-06 14:11:59][notice]Compressing zip file:yeslove.co.uk_wpvivid-66b21ed2e569a_2024-08-06-14-02_backup_uploads.part005.zip index:16877
[2024-08-06 14:12:31][notice]Compressing zip file:yeslove.co.uk_wpvivid-66b21ed2e569a_2024-08-06-14-02_backup_uploads.part005.zip success. index:16877 file size:94.05 MB
[2024-08-06 14:12:47][notice]Backing up backup_uploads completed.
[2024-08-06 14:12:47][notice]Prepare to backup backup_content files.
[2024-08-06 14:12:47][notice]Compressing zip file:yeslove.co.uk_wpvivid-66b21ed2e569a_2024-08-06-14-02_backup_content.part001.zip index:29
[2024-08-06 14:12:48][notice]Compressing zip file:yeslove.co.uk_wpvivid-66b21ed2e569a_2024-08-06-14-02_backup_content.part001.zip success. index:29 file size:2.71 MB
[2024-08-06 14:12:48][notice]Compressing zip file:yeslove.co.uk_wpvivid-66b21ed2e569a_2024-08-06-14-02_backup_content.part002.zip index:30
[2024-08-06 14:13:56][notice]Compressing zip file:yeslove.co.uk_wpvivid-66b21ed2e569a_2024-08-06-14-02_backup_content.part002.zip success. index:30 file size:6.90 MB
[2024-08-06 14:13:57][notice]Compressing zip file:yeslove.co.uk_wpvivid-66b21ed2e569a_2024-08-06-14-02_backup_content.part003.zip index:32
[2024-08-06 14:13:57][notice]Compressing zip file:yeslove.co.uk_wpvivid-66b21ed2e569a_2024-08-06-14-02_backup_content.part003.zip success. index:32 file size:2.60 KB
[2024-08-06 14:13:57][notice]Backing up backup_content completed.
[2024-08-06 14:13:57][notice]Prepare to backup backup_core files.
[2024-08-06 14:13:58][notice]Compressing zip file:yeslove.co.uk_wpvivid-66b21ed2e569a_2024-08-06-14-02_backup_core.part001.zip index:1
[2024-08-06 14:19:13][notice]Start backing up.
[2024-08-06 14:19:13][notice]server info fcgi:Off max execution time: 300 wp version:6.4.5 php version:8.1.29 db version:8.0.37 php ini:safe_mode: memory_limit:256M memory_get_usage:47.34 MB memory_get_peak_usage:48.89 MB extensions:PDO enabled curl enabled zlib enabled   is_multisite:0
[2024-08-06 14:19:13][notice]LiteSpeed Server.
[2024-08-06 14:19:13][notice]Add LiteSpeed Rule
[2024-08-06 14:19:13][notice]Prepare to backup backup_core files.
[2024-08-06 14:19:13][notice]Compressing zip file:yeslove.co.uk_wpvivid-66b21ed2e569a_2024-08-06-14-02_backup_core.part001.zip index:2641
[2024-08-06 14:19:56][notice]Compressing zip file:yeslove.co.uk_wpvivid-66b21ed2e569a_2024-08-06-14-02_backup_core.part001.zip success. index:2641 file size:17.10 MB
[2024-08-06 14:20:03][notice]Backing up backup_core completed.
[2024-08-06 14:20:04][notice]Prepare to backup backup_merge files.
[2024-08-06 14:20:04][notice]Prepare to zip file. file: yeslove.co.uk_wpvivid-66b21ed2e569a_2024-08-06-14-02_backup_db.zip
[2024-08-06 14:20:11][notice]Adding zip files completed.yeslove.co.uk_wpvivid-66b21ed2e569a_2024-08-06-14-02_backup_all.part001.zip, filesize: 9.57 MB
[2024-08-06 14:20:11][notice]Prepare to zip file. file: yeslove.co.uk_wpvivid-66b21ed2e569a_2024-08-06-14-02_backup_themes.zip
[2024-08-06 14:20:30][notice]Adding zip files completed.yeslove.co.uk_wpvivid-66b21ed2e569a_2024-08-06-14-02_backup_all.part001.zip, filesize: 31.77 MB
[2024-08-06 14:20:30][notice]Prepare to zip file. file: yeslove.co.uk_wpvivid-66b21ed2e569a_2024-08-06-14-02_backup_plugin.part001.zip
[2024-08-06 14:21:39][notice]Adding zip files completed.yeslove.co.uk_wpvivid-66b21ed2e569a_2024-08-06-14-02_backup_all.part001.zip, filesize: 112.05 MB
[2024-08-06 14:21:40][notice]Prepare to zip file. file: yeslove.co.uk_wpvivid-66b21ed2e569a_2024-08-06-14-02_backup_plugin.part002.zip
[2024-08-06 14:23:15][notice]Adding zip files completed.yeslove.co.uk_wpvivid-66b21ed2e569a_2024-08-06-14-02_backup_all.part001.zip, filesize: 180.10 MB
[2024-08-06 14:24:35][notice]Prepare to zip file. file: yeslove.co.uk_wpvivid-66b21ed2e569a_2024-08-06-14-02_backup_plugin.part003.zip
[2024-08-06 14:24:51][notice]Adding zip files completed.yeslove.co.uk_wpvivid-66b21ed2e569a_2024-08-06-14-02_backup_all.part002.zip, filesize: 22.49 MB
[2024-08-06 14:25:01][notice]Prepare to zip file. file: yeslove.co.uk_wpvivid-66b21ed2e569a_2024-08-06-14-02_backup_uploads.part001.zip
[2024-08-06 14:27:02][notice]Adding zip files completed.yeslove.co.uk_wpvivid-66b21ed2e569a_2024-08-06-14-02_backup_all.part003.zip, filesize: 183.35 MB
[2024-08-06 14:28:21][notice]Prepare to zip file. file: yeslove.co.uk_wpvivid-66b21ed2e569a_2024-08-06-14-02_backup_uploads.part002.zip
[2024-08-06 14:30:23][notice]Adding zip files completed.yeslove.co.uk_wpvivid-66b21ed2e569a_2024-08-06-14-02_backup_all.part004.zip, filesize: 183.94 MB
[2024-08-06 14:31:04][notice]Compressing zip file:yeslove.co.uk_wpvivid-66b21ed2e569a_2024-08-06-14-02_backup_core.part001.zip success. index:1 file size:2.04 GB
[2024-08-06 14:31:48][notice]Prepare to zip file. file: yeslove.co.uk_wpvivid-66b21ed2e569a_2024-08-06-14-02_backup_uploads.part003.zip
[2024-08-06 14:34:05][notice]Adding zip files completed.yeslove.co.uk_wpvivid-66b21ed2e569a_2024-08-06-14-02_backup_all.part005.zip, filesize: 183.97 MB
[2024-08-06 14:35:37][notice]Prepare to zip file. file: yeslove.co.uk_wpvivid-66b21ed2e569a_2024-08-06-14-02_backup_uploads.part004.zip
[2024-08-06 14:37:56][notice]Adding zip files completed.yeslove.co.uk_wpvivid-66b21ed2e569a_2024-08-06-14-02_backup_all.part006.zip, filesize: 184.52 MB
[2024-08-06 14:37:56][notice]Backup cancelled.
[2024-08-06 14:37:56][notice]LiteSpeed Server.
[2024-08-06 14:37:56][notice]Clear LiteSpeed Rule
[2024-08-06 14:45:57][notice]Compressing zip file:yeslove.co.uk_wpvivid-66b21ed2e569a_2024-08-06-14-02_backup_core.part002.zip index:2642
[2024-08-06 14:46:17][notice]Compressing zip file:yeslove.co.uk_wpvivid-66b21ed2e569a_2024-08-06-14-02_backup_core.part002.zip success. index:2642 file size:17.07 MB
[2024-08-06 14:46:17][notice]Backing up backup_core completed.
[2024-08-06 14:46:17][notice]Prepare to backup backup_merge files.
[2024-08-06 14:46:17][notice]Prepare to zip file. file: yeslove.co.uk_wpvivid-66b21ed2e569a_2024-08-06-14-02_backup_db.zip
[2024-08-06 14:46:17][notice]Prepare to zip file. file: yeslove.co.uk_wpvivid-66b21ed2e569a_2024-08-06-14-02_backup_themes.zip
